block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
3,9300,dci_gated,13,text,1,0.4369488475603176,1.0,0.013788609714729949,0.24545454545454548,0.7537179487179488,0.47414353523162683,1,20,20,0,1127.103,1127.298,17.7415
3,9300,dci_gated,14,text,0,0.8117025688863255,1.0,0.6888284485845666,0.6785714285714286,0.8761538461538463,0.8078286945758574,0,20,20,0,517.919,518.126,38.6007
3,9300,dci_gated,15,text,0,0.7708512757521409,1.0,0.7225885679135613,0.5535714285714286,0.6707692307692308,0.7485602028504179,0,20,20,0,293.823,294.001,68.0271
3,9300,dci_gated,16,text,0,0.7850945170847285,1.0,0.5972538272218137,0.6285714285714286,0.6506410256410257,0.7390348342759845,1,20,20,0,558.727,558.882,35.7857
3,9300,dci_gated,17,text,0,0.884704155095468,1.0,0.7324841154859982,0.9,0.6257692307692307,0.8415382464864514,0,20,20,0,569.945,570.107,35.0811
3,9300,dci_gated,18,text,0,0.7707836563726221,1.0,0.6119327015958169,0.7,0.8471794871794873,0.782159377489242,0,20,20,0,578.858,579.036,34.5401
3,9300,dci_gated,19,review,1,0.5306826761627101,1.0,0.09952648839055134,0.4903846153846154,0.7920512820512822,0.5694605821034032,1,20,20,0,16007.571,16007.932,1.2494
3,9300,dci_gated,20,review,0,0.8783060051627876,1.0,0.7264446963482544,1.0,0.752051282051282,0.8776731328680402,0,20,20,0,480.123,480.351,41.6362
3,9300,dci_gated,21,review,0,0.8085071563536905,1.0,0.5207400083592372,0.9,0.7308974358974359,0.7959094061448855,0,20,20,0,484.781,485.011,41.2361
3,9300,dci_gated,22,review,0,0.768591200975828,1.0,0.44917865266776824,0.8444444444444444,0.7734615384615385,0.7668916504356303,0,20,20,0,622.348,622.561,32.1254
3,9300,dci_gated,23,review,0,0.7632885805742955,1.0,0.605529311152653,0.7444444444444445,0.7421794871794872,0.7721438193399165,0,20,20,0,528.616,528.833,37.8191
3,9300,dci_gated,24,review,0,0.80808061017771,1.0,0.6118111839522598,0.8,0.7442307692307693,0.7960170047194949,0,20,20,0,482.502,482.737,41.4304
4,9400,dci_gated,1,edge,0,0.7593571611647671,1.0,0.7427707771203448,0.7,0.6626923076923078,0.777797291869107,0,20,20,0,581.866,582.109,34.3578
4,9400,dci_gated,2,edge,0,0.863582117928692,1.0,0.47902359745565637,0.875,0.8475641025641026,0.8138348643579196,0,20,20,0,347.694,348.077,57.4586
4,9400,dci_gated,3,edge,0,0.7643296512767884,1.0,0.6486149994907953,0.7,0.6770512820512821,0.7623631050250484,0,20,20,0,397.374,397.677,50.292
