analysis_timestamp_utc,run_id,window,S_R,S_V,S_T,S_A,S_P,HSM
2026-07-05T13:56:59Z,20260705T135649Z,3842,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.8108974359,0.9716346142
2026-07-05T13:56:59Z,20260705T135649Z,3843,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7655128205,0.9648269219
2026-07-05T13:56:59Z,20260705T135649Z,3844,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.8170512821,0.8077927272
2026-07-05T13:56:59Z,20260705T135649Z,3845,0.6666666667,1.0000000000,0.9220336936,0.3333333333,0.7233333333,0.7262400721
2026-07-05T13:56:59Z,20260705T135649Z,3846,0.8308156933,1.0000000000,0.8961891502,0.6666666667,0.8537179487,0.8483327790
2026-07-05T13:56:59Z,20260705T135649Z,3847,0.8308156933,1.0000000000,0.8614710364,0.6666666667,0.7976923077,0.8329853101
2026-07-05T13:56:59Z,20260705T135649Z,3848,0.7778850527,1.0000000000,0.9254705402,0.6666666667,0.7808974359,0.8300333199
2026-07-05T13:56:59Z,20260705T135649Z,3849,1.0000000000,1.0000000000,0.9565934266,1.0000000000,0.7489743590,0.9536648392
2026-07-05T13:56:59Z,20260705T135649Z,3850,0.8308156933,1.0000000000,0.9603556692,0.6666666667,0.7170512821,0.8406660828
2026-07-05T13:56:59Z,20260705T135649Z,3851,1.0000000000,1.0000000000,0.9222756411,1.0000000000,0.7576923077,0.9481089744
2026-07-05T13:56:59Z,20260705T135649Z,3852,0.6186566985,1.0000000000,0.3737476522,0.3333333333,0.7107692308,0.6026957563
2026-07-05T13:56:59Z,20260705T135649Z,3853,0.9291181088,1.0000000000,0.4447806586,1.0000000000,0.7439743590,0.8328318128
2026-07-05T13:56:59Z,20260705T135649Z,3854,0.7677204728,1.0000000000,0.9295534250,0.5000000000,0.7605128205,0.7919177263
2026-07-05T13:56:59Z,20260705T135649Z,3855,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7476923077,0.9621538450
2026-07-05T13:56:59Z,20260705T135649Z,3856,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7628205128,0.9644230757
2026-07-05T13:56:59Z,20260705T135649Z,3857,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7575641026,0.9636346142
2026-07-05T13:56:59Z,20260705T135649Z,3858,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7225641026,0.9583846142
2026-07-05T13:56:59Z,20260705T135649Z,3859,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.8743589744,0.9811538450
2026-07-05T13:56:59Z,20260705T135649Z,3860,0.7011185094,1.0000000000,0.9032887910,0.2500000000,0.7287179487,0.7152450779
2026-07-05T13:56:59Z,20260705T135649Z,3861,0.7911717252,1.0000000000,0.9052184800,0.5000000000,0.8420512821,0.8051443196
2026-07-05T13:56:59Z,20260705T135649Z,3862,0.8048689313,1.0000000000,0.8902782067,0.6666666667,0.8074358974,0.8337215921
2026-07-05T13:56:59Z,20260705T135649Z,3863,1.0000000000,1.0000000000,0.9385262818,1.0000000000,0.8162820513,0.9601475640
2026-07-05T13:56:59Z,20260705T135649Z,3864,0.8225951886,1.0000000000,0.9626090465,0.7500000000,0.7338461538,0.8582475295
2026-07-05T13:56:59Z,20260705T135649Z,3865,0.8202606934,1.0000000000,0.9474327708,0.7500000000,0.6758974359,0.8459363429
2026-07-05T13:56:59Z,20260705T135649Z,3866,0.6972020364,1.0000000000,0.9176449982,0.5000000000,0.8506410256,0.7854256626
2026-07-05T13:56:59Z,20260705T135649Z,3867,0.5800528066,1.0000000000,0.9029983851,0.2000000000,0.8256410256,0.6894590325
2026-07-05T13:56:59Z,20260705T135649Z,3868,0.7221149473,1.0000000000,0.9167411894,0.3333333333,0.7623076923,0.7448897952
2026-07-05T13:56:59Z,20260705T135649Z,3869,0.7677204728,1.0000000000,0.6855471582,0.5000000000,0.7670512821,0.7440972421
2026-07-05T13:56:59Z,20260705T135649Z,3870,1.0000000000,1.0000000000,0.9433092750,1.0000000000,0.8593589744,0.9675657011
2026-07-05T13:56:59Z,20260705T135649Z,3871,0.9291181088,1.0000000000,0.6943110820,1.0000000000,0.6550000000,0.8693917436
2026-07-05T13:56:59Z,20260705T135649Z,3872,0.8178906433,1.0000000000,0.6006301841,0.6666666667,0.7838461538,0.7755089540
2026-07-05T13:56:59Z,20260705T135649Z,3873,0.8308156933,1.0000000000,0.7264618900,0.6666666667,0.8303846154,0.8108873270
2026-07-05T13:56:59Z,20260705T135649Z,3874,1.0000000000,1.0000000000,0.8779038767,1.0000000000,0.6303846154,0.9201384676
2026-07-05T13:56:59Z,20260705T135649Z,3875,0.6666666667,1.0000000000,0.4772980352,0.3333333333,0.8362820513,0.6542352481
2026-07-05T13:56:59Z,20260705T135649Z,3876,1.0000000000,1.0000000000,0.9377851185,1.0000000000,0.8000000000,0.9575570237
2026-07-05T13:56:59Z,20260705T135649Z,3877,1.0000000000,1.0000000000,0.7816241771,1.0000000000,0.8107692308,0.9279402200
2026-07-05T13:56:59Z,20260705T135649Z,3878,0.8178906433,1.0000000000,0.5542194617,0.6666666667,0.7756410256,0.7649960403
2026-07-05T13:56:59Z,20260705T135649Z,3879,0.8178906433,1.0000000000,0.7112123231,0.6666666667,0.6265384615,0.7740292280
2026-07-05T13:56:59Z,20260705T135649Z,3880,1.0000000000,1.0000000000,0.7190225749,1.0000000000,0.8321794872,0.9186314381
2026-07-05T13:56:59Z,20260705T135649Z,3881,0.7778850527,1.0000000000,0.8342126435,0.6666666667,0.7957692308,0.8140125098
2026-07-05T13:56:59Z,20260705T135649Z,3882,1.0000000000,1.0000000000,0.9087421033,1.0000000000,0.6960256410,0.9361522668
2026-07-05T13:56:59Z,20260705T135649Z,3883,0.9389292606,1.0000000000,0.9474775917,1.0000000000,0.7244871795,0.9329009104
2026-07-05T13:56:59Z,20260705T135649Z,3884,0.7778850527,1.0000000000,0.9254705402,0.6666666667,0.8537179487,0.8409563969
2026-07-05T13:56:59Z,20260705T135649Z,3885,0.8048689313,1.0000000000,0.9646740990,0.6666666667,0.6120512821,0.8192930783
2026-07-05T13:56:59Z,20260705T135649Z,3886,0.7233498105,1.0000000000,0.9500849642,0.3333333333,0.7783333333,0.7542711121
2026-07-05T13:56:59Z,20260705T135649Z,3887,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7303846154,0.7947927272
2026-07-05T13:56:59Z,20260705T135649Z,3888,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.6701282051,0.7857542656
2026-07-05T13:56:59Z,20260705T135649Z,3889,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7487179487,0.9623076911
2026-07-05T13:56:59Z,20260705T135649Z,3890,0.7677204728,1.0000000000,0.6256659164,0.5000000000,0.7719230769,0.7328517630
2026-07-05T13:56:59Z,20260705T135649Z,3891,0.7677204728,1.0000000000,0.6256659164,0.5000000000,0.7662820513,0.7320056092
2026-07-05T13:56:59Z,20260705T135649Z,3892,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.8771794872,0.9815769219
2026-07-05T13:56:59Z,20260705T135649Z,3893,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.8124358974,0.9718653834
2026-07-05T13:56:59Z,20260705T135649Z,3894,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.8202564103,0.9730384604
2026-07-05T13:56:59Z,20260705T135649Z,3895,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7857692308,0.9678653834
2026-07-05T13:56:59Z,20260705T135649Z,3896,0.7677204728,1.0000000000,0.8440417392,0.5000000000,0.7625641026,0.7751230814
2026-07-05T13:56:59Z,20260705T135649Z,3897,0.8308156933,1.0000000000,0.9105614780,0.6666666667,0.6015384615,0.8133803215
2026-07-05T13:56:59Z,20260705T135649Z,3898,0.6683552816,1.0000000000,0.4018483896,0.5000000000,0.7583333333,0.6612084983
2026-07-05T13:56:59Z,20260705T135649Z,3899,0.8308156933,1.0000000000,0.9465575149,0.6666666667,0.7798717949,0.8473295289
2026-07-05T13:56:59Z,20260705T135649Z,3900,0.8308156933,1.0000000000,0.9465575149,0.6666666667,0.7691025641,0.8457141443
2026-07-05T13:56:59Z,20260705T135649Z,3901,0.8178906433,1.0000000000,0.7700460733,0.6666666667,0.7624358974,0.8061805934
2026-07-05T13:56:59Z,20260705T135649Z,3902,0.9291181088,1.0000000000,0.8108830488,1.0000000000,0.8474358974,0.9215715216
2026-07-05T13:56:59Z,20260705T135649Z,3903,0.8308156933,1.0000000000,0.8328589269,0.6666666667,0.7937179487,0.8266667343
2026-07-05T13:56:59Z,20260705T135649Z,3904,0.8178906433,1.0000000000,0.6471003434,0.6666666667,0.8275641026,0.7913606782
2026-07-05T13:56:59Z,20260705T135649Z,3905,1.0000000000,1.0000000000,0.6591413331,1.0000000000,0.7287179487,0.8911359589
2026-07-05T13:56:59Z,20260705T135649Z,3906,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7835897436,0.8027734964
2026-07-05T13:56:59Z,20260705T135649Z,3907,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.6587179487,0.9488076911
2026-07-05T13:56:59Z,20260705T135649Z,3908,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.6306410256,0.9445961527
