geom,delta,seed,policy,recall,fa,auc,esc_pct,feat_pct,note
axis_sv,2.5,41,dci_v3,0.8333,2,0.9857,0.0,4.96,
axis_sv,2.5,41,dci_v3_a8,0.8333,2,0.9857,12.2,16.55,
axis_sv,2.5,42,always_multiD,0.6667,2,0.9286,100.0,100.0,
axis_sv,2.5,42,union4_bonf,0.6667,3,0.9095,0.0,4.96,
axis_sv,2.5,42,best_axis_oracle,0.8333,1,0.9571,0.0,0.01,S_V
axis_sv,2.5,42,sketch1,0.3333,3,0.6952,0.0,100.0,
axis_sv,2.5,42,dci_v3,0.6667,3,0.9095,0.0,4.96,
axis_sv,2.5,42,dci_v3_a8,0.6667,3,0.9143,12.2,16.55,
axis_sv,2.5,43,always_multiD,0.1667,0,0.8952,100.0,100.0,
axis_sv,2.5,43,union4_bonf,0.3333,1,0.9286,0.0,4.96,
axis_sv,2.5,43,best_axis_oracle,0.8333,2,0.981,0.0,0.01,S_V
axis_sv,2.5,43,sketch1,0.0,3,0.4429,0.0,100.0,
axis_sv,2.5,43,dci_v3,0.3333,1,0.9286,0.0,4.96,
axis_sv,2.5,43,dci_v3_a8,0.3333,1,0.819,12.2,16.55,
axis_sv,2.5,44,always_multiD,0.5,2,0.8667,100.0,100.0,
axis_sv,2.5,44,union4_bonf,0.5,0,0.8714,0.0,4.96,
axis_sv,2.5,44,best_axis_oracle,0.8333,1,0.881,0.0,0.01,S_V
axis_sv,2.5,44,sketch1,0.5,0,0.8,0.0,100.0,
axis_sv,2.5,44,dci_v3,0.5,0,0.8714,0.0,4.96,
axis_sv,2.5,44,dci_v3_a8,0.5,0,0.8857,14.6,18.87,
axis_sv,2.5,45,always_multiD,0.3333,1,0.9,100.0,100.0,
axis_sv,2.5,45,union4_bonf,0.5,2,0.9333,0.0,4.96,
axis_sv,2.5,45,best_axis_oracle,0.6667,1,0.9333,0.0,0.01,S_V
axis_sv,2.5,45,sketch1,0.0,1,0.8571,0.0,100.0,
axis_sv,2.5,45,dci_v3,0.5,2,0.8905,4.9,9.6,
axis_sv,2.5,45,dci_v3_a8,0.5,2,0.9048,17.1,21.19,
axis_sv,2.5,46,always_multiD,0.3333,2,0.8476,100.0,100.0,
axis_sv,2.5,46,union4_bonf,0.6667,2,0.8429,0.0,4.96,
axis_sv,2.5,46,best_axis_oracle,0.6667,1,0.9667,0.0,0.01,S_V
axis_sv,2.5,46,sketch1,0.1667,1,0.6333,0.0,100.0,
axis_sv,2.5,46,dci_v3,0.6667,2,0.8429,0.0,4.96,
axis_sv,2.5,46,dci_v3_a8,0.6667,3,0.8476,12.2,16.55,
axis_sv,2.5,47,always_multiD,0.3333,0,0.6762,100.0,100.0,
axis_sv,2.5,47,union4_bonf,0.5,0,0.7476,0.0,4.96,
axis_sv,2.5,47,best_axis_oracle,0.5,0,0.7381,0.0,0.01,S_V
axis_sv,2.5,47,sketch1,0.3333,1,0.7048,0.0,100.0,
axis_sv,2.5,47,dci_v3,0.5,0,0.7476,0.0,4.96,
axis_sv,2.5,47,dci_v3_a8,0.5,0,0.7714,12.2,16.55,
axis_sv,2.5,48,always_multiD,0.8333,1,0.8619,100.0,100.0,
axis_sv,2.5,48,union4_bonf,0.6667,2,0.881,0.0,4.96,
axis_sv,2.5,48,best_axis_oracle,0.8333,2,0.9381,0.0,0.01,S_V
axis_sv,2.5,48,sketch1,0.3333,0,0.7619,0.0,100.0,
axis_sv,2.5,48,dci_v3,0.6667,2,0.881,0.0,4.96,
axis_sv,2.5,48,dci_v3_a8,0.6667,1,0.8952,12.2,16.55,
axis_sv,2.5,49,always_multiD,0.6667,1,0.9429,100.0,100.0,
axis_sv,2.5,49,union4_bonf,0.6667,0,0.9524,0.0,4.96,
axis_sv,2.5,49,best_axis_oracle,0.6667,0,0.9333,0.0,0.01,S_V
axis_sv,2.5,49,sketch1,0.1667,2,0.7714,0.0,100.0,
axis_sv,2.5,49,dci_v3,0.6667,0,0.9524,0.0,4.96,
axis_sv,2.5,49,dci_v3_a8,0.6667,0,0.9429,12.2,16.55,
axis_sv,3.5,0,always_multiD,0.5,0,0.9714,100.0,100.0,
axis_sv,3.5,0,union4_bonf,1.0,1,0.9905,0.0,4.96,
axis_sv,3.5,0,best_axis_oracle,1.0,0,1.0,0.0,0.01,S_V
axis_sv,3.5,0,sketch1,0.3333,2,0.8,0.0,100.0,
