workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,mixed,35,always_5D,41,6,6,1.0,0.0,24,30,1.0,2.348561333337177
tpch,mixed,35,dci_gated,41,6,6,1.0,0.0,24,30,0.0975609756097561,0.23701683066527926
tpch,mixed,35,always_1D,41,6,6,1.0,0.0,24,30,0.04878048780487805,0.12287928998031117
tpch,mixed,36,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,36,dci_gated,41,6,6,1.0,0.0,15,21,0.0975609756097561,0.23701683066527926
tpch,mixed,36,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,37,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,37,dci_gated,41,6,6,1.0,0.0,15,21,0.07317073170731707,0.17994806032279492
tpch,mixed,37,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,38,always_5D,41,6,5,0.8333333333333334,0.0,14,19,1.0,2.348561333337177
tpch,mixed,38,dci_gated,41,6,5,0.8333333333333334,0.0,14,19,0.0975609756097561,0.23701683066527926
tpch,mixed,38,always_1D,41,6,5,0.8333333333333334,0.0,14,19,0.04878048780487805,0.12287928998031117
tpch,mixed,39,always_5D,41,6,6,1.0,0.0,22,28,1.0,2.348561333337177
tpch,mixed,39,dci_gated,41,6,6,1.0,0.0,22,28,0.04878048780487805,0.12287928998031117
tpch,mixed,39,always_1D,41,6,6,1.0,0.0,22,28,0.04878048780487805,0.12287928998031117
tpch,mixed,40,always_5D,41,6,6,1.0,0.0,11,17,1.0,2.348561333337177
tpch,mixed,40,dci_gated,41,6,6,1.0,0.0,11,17,0.1951219512195122,0.46529191203521303
tpch,mixed,40,always_1D,41,6,6,1.0,0.0,11,17,0.04878048780487805,0.12287928998031117
tpch,mixed,41,always_5D,41,6,6,1.0,0.0,20,26,1.0,2.348561333337177
tpch,mixed,41,dci_gated,41,6,6,1.0,0.0,20,26,0.0975609756097561,0.23701683066527926
tpch,mixed,41,always_1D,41,6,6,1.0,0.0,20,26,0.04878048780487805,0.12287928998031117
tpch,mixed,42,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,42,dci_gated,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,42,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,43,always_5D,41,6,6,1.0,0.0,25,31,1.0,2.348561333337177
tpch,mixed,43,dci_gated,41,6,6,1.0,0.0,25,31,0.12195121951219512,0.294085601007763
tpch,mixed,43,always_1D,41,6,6,1.0,0.0,25,31,0.04878048780487805,0.12287928998031117
tpch,mixed,44,always_5D,41,6,6,1.0,0.0,21,27,1.0,2.348561333337177
tpch,mixed,44,dci_gated,41,6,6,1.0,0.0,21,27,0.0975609756097561,0.23701683066527926
