block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
7,7800,dci_gated,3,MixBase,0,0.94422,1.0,0.816813,1.0,0.783846,0.916995,0,1.5315,5-D,20,20,4329.25,4855.032,4.1194,1.0
7,7800,dci_gated,4,MixBase,0,0.821491,1.0,0.6265,1.0,0.803974,0.851269,0,1.8567,5-D,20,20,5334.474,6067.575,3.2962,1.0
7,7800,dci_gated,5,MixShift1,1,0.633116,1.0,0.394713,0.440092,0.667179,0.625317,1,1.1441,1-D,20,20,5069.09,5503.208,3.6342,1.0
7,7800,dci_gated,6,MixShift1,0,0.898695,1.0,0.580371,1.0,0.775641,0.857094,0,1.1896,1-D,20,20,4398.213,4911.408,4.0722,1.0
7,7800,dci_gated,7,MixShift1,0,0.894343,1.0,0.566252,1.0,0.811667,0.858586,0,1.2606,1-D,20,20,5229.344,5550.365,3.6034,1.0
7,7800,dci_gated,8,MixShift1,0,0.825203,1.0,0.558862,0.9375,0.857308,0.834169,0,1.355,1-D,20,20,5217.233,5744.114,3.4818,1.0
7,7800,dci_gated,9,MixSurge1,1,0.832726,0.625,0.755288,0.9375,0.772564,0.787624,1,2.0279,5-D,32,32,8518.039,9334.394,3.4282,1.0
7,7800,dci_gated,10,MixSurge1,0,0.9158,1.0,0.735334,1.0,0.695088,0.88028,0,2.0444,5-D,32,32,8221.634,8911.07,3.591,1.0
7,7800,dci_gated,11,MixSurge1,0,0.888367,1.0,0.672135,1.0,0.743536,0.868049,0,2.0409,5-D,32,32,9526.567,10264.197,3.1176,1.0
7,7800,dci_gated,12,MixSurge1,0,0.9131,1.0,0.761826,1.0,0.728394,0.889899,0,2.0453,5-D,32,32,8195.42,9034.95,3.5418,1.0
7,7800,dci_gated,13,MixShift2,1,0.62531,1.0,0.330521,0.821429,0.743968,0.698313,1,1.9747,5-D,32,32,9630.104,10636.839,3.0084,1.0
7,7800,dci_gated,14,MixShift2,0,0.814293,1.0,0.636255,0.981481,0.645074,0.823882,0,2.0325,5-D,32,32,16983.84,18166.748,1.7615,1.0
7,7800,dci_gated,15,MixShift2,0,0.862617,1.0,0.701831,1.0,0.793279,0.875012,0,2.0395,5-D,32,32,11776.914,12668.037,2.526,1.0
7,7800,dci_gated,16,MixShift2,0,0.910463,1.0,0.846872,1.0,0.867395,0.9271,0,2.0823,5-D,32,32,14440.485,15343.225,2.0856,1.0
7,7800,dci_gated,17,MixCalm,1,0.878564,0.625,0.70997,1.0,0.770513,0.802212,1,2.3903,5-D,20,20,6600.504,7080.203,2.8248,1.0
7,7800,dci_gated,18,MixCalm,0,0.921106,1.0,0.662722,1.0,0.818718,0.885629,0,2.4061,5-D,20,20,8440.894,8976.153,2.2281,1.0
7,7800,dci_gated,19,MixCalm,0,0.912909,1.0,0.7851,1.0,0.739359,0.896151,0,2.3937,5-D,20,20,8592.877,9237.55,2.1651,1.0
7,7800,dci_gated,20,MixCalm,0,0.864871,1.0,0.731543,0.981481,0.825641,0.882669,0,2.4126,5-D,20,20,6384.695,7140.502,2.8009,1.0
