workload,config,seed,dci,eff_rank,stable_rank,p1
pgbench,template_only,34,1.0563419764328035,1.1338934532706175,1.0281933803967902,0.972579690810779
pgbench,template_only,35,1.0185292748680388,1.0535868207589405,1.009265432786881,0.9908196273389681
pgbench,template_only,36,1.1179700682684175,1.240467376233815,1.059191697464825,0.9441161617802517
pgbench,template_only,37,1.0285795860827145,1.0768622551903582,1.0142927121834515,0.985908690842623
pgbench,template_only,38,1.0285795860827145,1.0768622551903582,1.0142927121834515,0.985908690842623
pgbench,template_only,39,1.0963507944718163,1.2053342405571568,1.0482877280350456,0.9539365703292567
pgbench,template_only,40,1.0228900882213428,1.0639296762321648,1.0114465436788311,0.9886829968915629
pgbench,template_only,41,1.002717019961144,1.0103668276294702,1.0013585124877784,0.9986433305645913
pgbench,template_only,42,1.020446563567066,1.0581861010650773,1.0102243504982487,0.9898791288358809
pgbench,template_only,43,1.0451208260946774,1.1118255149198857,1.0225719073747999,0.9779263372951955
pgbench,template_only,44,1.020446563567066,1.0581861010650773,1.0102243504982487,0.9898791288358809
pgbench,template_only,45,1.0287352069344482,1.0772082602083524,1.014370570568407,0.9858330170596783
pgbench,template_only,46,1.0000000000000004,1.0000000000000038,1.0000000000000002,0.9999999999999999
pgbench,template_only,47,1.0509349123404188,1.1233995751654278,1.0254839956029522,0.9751492995383431
pgbench,template_only,48,1.037625469398218,1.0963981432693657,1.0188193976002033,0.9815282299841054
pgbench,template_only,49,1.029922303035428,1.079835231184456,1.0149645018628681,0.9852561327658236
pgbench,volume_only,0,1.0092955699187012,1.0299260505016137,1.0046478853646978,0.9953736175306729
pgbench,volume_only,1,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,2,1.0,1.0000000000000004,1.0,1.0
pgbench,volume_only,3,1.009067408645132,1.0292994118539638,1.0045337975143087,0.995486665032548
pgbench,volume_only,4,1.0034225640651058,1.0126725960478877,1.001711287044048,0.9982916364563507
pgbench,volume_only,5,1.0060076754377343,1.020602487246328,1.0030038648231074,0.9970051313574578
pgbench,volume_only,6,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,7,1.0092955699187012,1.0299260505016137,1.0046478853646978,0.9953736175306729
pgbench,volume_only,8,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,9,1.0110736857175422,1.034724580672966,1.0055370126101157,0.9944934770767482
pgbench,volume_only,10,1.0068449757000022,1.0230428632156832,1.0034225279399884,0.9965891458037973
pgbench,volume_only,11,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,12,1.008546921509046,1.0278597399148728,1.0042735388013089,0.9957446466164889
pgbench,volume_only,13,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,14,1.008546921509046,1.0278597399148728,1.0042735388013089,0.9957446466164889
pgbench,volume_only,15,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,16,1.0101364097047298,1.0322132795659262,1.005068335044513,0.9949572234366645
pgbench,volume_only,17,1.0101364097047296,1.0322132795659258,1.005068335044513,0.9949572234366646
pgbench,volume_only,18,1.0101364097047296,1.0322132795659258,1.005068335044513,0.9949572234366646
pgbench,volume_only,19,1.009067408645132,1.0292994118539638,1.0045337975143087,0.995486665032548
pgbench,volume_only,20,1.0092955699187012,1.0299260505016137,1.0046478853646978,0.9953736175306729
pgbench,volume_only,21,1.0068449757000022,1.0230428632156834,1.0034225279399884,0.9965891458037973
pgbench,volume_only,22,1.0092955699187012,1.0299260505016137,1.0046478853646978,0.9953736175306729
pgbench,volume_only,23,1.005116956387453,1.017945333610431,1.0025584949412596,0.9974480342502017
pgbench,volume_only,24,1.0092955699187012,1.0299260505016137,1.0046478853646978,0.9953736175306729
pgbench,volume_only,25,1.0060076754377343,1.020602487246328,1.0030038648231074,0.9970051313574578
pgbench,volume_only,26,1.0068449757000022,1.0230428632156832,1.0034225279399884,0.9965891458037973
pgbench,volume_only,27,1.0010578755074544,1.0045275527079511,1.0005289379017108,0.9994713417256874
pgbench,volume_only,28,1.0010578755074544,1.0045275527079511,1.0005289379017108,0.9994713417256874
pgbench,volume_only,29,1.008546921509046,1.0278597399148728,1.0042735388013089,0.9957446466164889
pgbench,volume_only,30,1.0123612990020727,1.0381149725931114,1.0061808856225345,0.9938570830445559
pgbench,volume_only,31,1.0068449757000022,1.0230428632156832,1.0034225279399884,0.9965891458037973
pgbench,volume_only,32,1.009067408645132,1.0292994118539636,1.0045337975143087,0.995486665032548
pgbench,volume_only,33,1.0065779841003972,1.0222702556902918,1.003289027629537,0.9967217546101268
pgbench,volume_only,34,1.0102199564150176,1.0324387173524168,1.0051101116456014,0.9949158688322864
pgbench,volume_only,35,1.0078778078152852,1.025986990173085,1.0039389650214914,0.9960764895489369
pgbench,volume_only,36,1.0065779841003972,1.0222702556902918,1.003289027629537,0.9967217546101268
pgbench,volume_only,37,1.0101364097047296,1.0322132795659258,1.005068335044513,0.9949572234366646
pgbench,volume_only,38,1.0092955699187012,1.0299260505016137,1.0046478853646978,0.9953736175306729
pgbench,volume_only,39,1.0060076754377343,1.020602487246328,1.0030038648231074,0.9970051313574578
pgbench,volume_only,40,1.0010578755074544,1.0045275527079511,1.0005289379017108,0.9994713417256874
