cand_id,stratum,policy,hit,fa
111,cross/aligned,best_axis_oracle,1,15
111,cross/aligned,every_k2,0,8
111,cross/aligned,adwin,0,0
111,cross/aligned,mcusum,1,15
111,cross/aligned,sketch1,1,15
112,cross/aligned,always_multiD,1,11
112,cross/aligned,union4_bonf,1,11
112,cross/aligned,dci_v3,1,11
112,cross/aligned,dci_v3_a8,1,11
112,cross/aligned,best_axis_oracle,1,11
112,cross/aligned,every_k2,1,5
112,cross/aligned,adwin,0,0
112,cross/aligned,mcusum,1,11
112,cross/aligned,sketch1,1,10
113,cross/aligned,always_multiD,1,11
113,cross/aligned,union4_bonf,1,0
113,cross/aligned,dci_v3,1,9
113,cross/aligned,dci_v3_a8,1,10
113,cross/aligned,best_axis_oracle,1,0
113,cross/aligned,every_k2,1,5
113,cross/aligned,adwin,0,0
113,cross/aligned,mcusum,0,1
113,cross/aligned,sketch1,0,0
114,cross/aligned,always_multiD,1,11
114,cross/aligned,union4_bonf,1,0
114,cross/aligned,dci_v3,1,10
114,cross/aligned,dci_v3_a8,1,10
114,cross/aligned,best_axis_oracle,1,0
114,cross/aligned,every_k2,0,6
114,cross/aligned,adwin,0,0
114,cross/aligned,mcusum,1,7
114,cross/aligned,sketch1,1,6
115,cross/aligned,always_multiD,1,17
115,cross/aligned,union4_bonf,1,17
115,cross/aligned,dci_v3,1,17
115,cross/aligned,dci_v3_a8,1,17
115,cross/aligned,best_axis_oracle,1,17
115,cross/aligned,every_k2,1,8
115,cross/aligned,adwin,0,0
115,cross/aligned,mcusum,1,17
115,cross/aligned,sketch1,1,17
116,cross/aligned,always_multiD,1,17
116,cross/aligned,union4_bonf,1,17
116,cross/aligned,dci_v3,1,17
116,cross/aligned,dci_v3_a8,1,17
116,cross/aligned,best_axis_oracle,1,1
116,cross/aligned,every_k2,1,7
116,cross/aligned,adwin,0,0
116,cross/aligned,mcusum,1,12
116,cross/aligned,sketch1,1,16
117,cross/aligned,always_multiD,1,11
117,cross/aligned,union4_bonf,1,11
117,cross/aligned,dci_v3,1,11
117,cross/aligned,dci_v3_a8,1,11
117,cross/aligned,best_axis_oracle,1,11
117,cross/aligned,every_k2,0,6
117,cross/aligned,adwin,0,0
117,cross/aligned,mcusum,1,11
117,cross/aligned,sketch1,1,11
118,cross/aligned,always_multiD,1,11
118,cross/aligned,union4_bonf,1,11
118,cross/aligned,dci_v3,1,11
118,cross/aligned,dci_v3_a8,1,11
118,cross/aligned,best_axis_oracle,1,11
118,cross/aligned,every_k2,0,6
118,cross/aligned,adwin,0,0
118,cross/aligned,mcusum,1,11
118,cross/aligned,sketch1,1,11
119,cross/aligned,always_multiD,1,17
119,cross/aligned,union4_bonf,1,17
119,cross/aligned,dci_v3,1,17
119,cross/aligned,dci_v3_a8,1,17
119,cross/aligned,best_axis_oracle,1,1
119,cross/aligned,every_k2,1,7
119,cross/aligned,adwin,0,0
119,cross/aligned,mcusum,1,12
119,cross/aligned,sketch1,1,16
120,cross/aligned,always_multiD,1,11
120,cross/aligned,union4_bonf,1,11
120,cross/aligned,dci_v3,1,11
120,cross/aligned,dci_v3_a8,1,11
120,cross/aligned,best_axis_oracle,1,11
