cand_id,stratum,policy,hit,fa
55,cross/offaxis/l0.05,mcusum,0,0
55,cross/offaxis/l0.05,sketch1,0,1
56,cross/offaxis/l0.1,always_multiD,0,3
56,cross/offaxis/l0.1,union4_bonf,0,3
56,cross/offaxis/l0.1,dci_v3,0,3
56,cross/offaxis/l0.1,dci_v3_a8,0,3
56,cross/offaxis/l0.1,best_axis_oracle,0,0
56,cross/offaxis/l0.1,every_k2,0,2
56,cross/offaxis/l0.1,adwin,0,0
56,cross/offaxis/l0.1,mcusum,0,0
56,cross/offaxis/l0.1,sketch1,0,1
57,cross/offaxis/l0.2,always_multiD,0,4
57,cross/offaxis/l0.2,union4_bonf,0,2
57,cross/offaxis/l0.2,dci_v3,0,2
57,cross/offaxis/l0.2,dci_v3_a8,0,3
57,cross/offaxis/l0.2,best_axis_oracle,0,0
57,cross/offaxis/l0.2,every_k2,0,3
57,cross/offaxis/l0.2,adwin,0,0
57,cross/offaxis/l0.2,mcusum,0,0
57,cross/offaxis/l0.2,sketch1,0,1
58,cross/offaxis/l0.4,always_multiD,1,3
58,cross/offaxis/l0.4,union4_bonf,0,2
58,cross/offaxis/l0.4,dci_v3,0,3
58,cross/offaxis/l0.4,dci_v3_a8,0,3
58,cross/offaxis/l0.4,best_axis_oracle,0,0
58,cross/offaxis/l0.4,every_k2,1,1
58,cross/offaxis/l0.4,adwin,0,0
58,cross/offaxis/l0.4,mcusum,0,0
58,cross/offaxis/l0.4,sketch1,0,2
59,cross/offaxis/l1,always_multiD,1,11
59,cross/offaxis/l1,union4_bonf,1,10
59,cross/offaxis/l1,dci_v3,1,11
59,cross/offaxis/l1,dci_v3_a8,1,11
59,cross/offaxis/l1,best_axis_oracle,1,0
59,cross/offaxis/l1,every_k2,0,6
59,cross/offaxis/l1,adwin,0,0
59,cross/offaxis/l1,mcusum,0,5
59,cross/offaxis/l1,sketch1,1,8
60,cross/offaxis/l0.05,always_multiD,0,3
60,cross/offaxis/l0.05,union4_bonf,0,3
60,cross/offaxis/l0.05,dci_v3,0,3
60,cross/offaxis/l0.05,dci_v3_a8,0,4
60,cross/offaxis/l0.05,best_axis_oracle,0,0
60,cross/offaxis/l0.05,every_k2,0,1
60,cross/offaxis/l0.05,adwin,0,0
60,cross/offaxis/l0.05,mcusum,0,0
60,cross/offaxis/l0.05,sketch1,0,1
61,cross/offaxis/l0.1,always_multiD,0,4
61,cross/offaxis/l0.1,union4_bonf,0,3
61,cross/offaxis/l0.1,dci_v3,0,3
61,cross/offaxis/l0.1,dci_v3_a8,0,3
61,cross/offaxis/l0.1,best_axis_oracle,0,0
61,cross/offaxis/l0.1,every_k2,0,3
61,cross/offaxis/l0.1,adwin,0,0
