id,arm,cluster_a,start_a,cluster_b,start_b,lam,stratum,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows
125,cross,14,1065,31,3065,0.05,cross/offaxis/l0.05,1.0,1.1609,1.0,0
126,cross,14,1065,31,3065,0.1,cross/offaxis/l0.1,1.0,1.1622,1.0,0
127,cross,14,1065,31,3065,0.2,cross/offaxis/l0.2,1.0,1.1884,1.0,0
128,cross,14,1065,31,3065,0.4,cross/offaxis/l0.4,1.0,1.3695,1.0,0
129,cross,14,1065,31,3065,1.0,cross/offaxis/l1,0.1618,1.4052,0.1618,12
130,cross,14,1065,31,5065,0.05,cross/offaxis/l0.05,1.0,1.16,1.0,0
131,cross,14,1065,31,5065,0.1,cross/offaxis/l0.1,1.0,1.1643,1.0,0
132,cross,14,1065,31,5065,0.2,cross/offaxis/l0.2,1.0,1.1905,1.0,0
133,cross,14,1065,31,5065,0.4,cross/offaxis/l0.4,1.0,1.3946,1.0,0
134,cross,14,1065,31,5065,1.0,cross/offaxis/l1,0.1622,1.4041,0.1622,12
135,cross,14,1065,31,6065,0.05,cross/offaxis/l0.05,1.0,1.1569,1.0,0
136,cross,14,1065,31,6065,0.1,cross/offaxis/l0.1,1.0,1.1594,1.0,0
137,cross,14,1065,31,6065,0.2,cross/offaxis/l0.2,1.0,1.178,1.0,0
138,cross,14,1065,31,6065,0.4,cross/offaxis/l0.4,1.0,1.3572,1.0,0
139,cross,14,1065,31,6065,1.0,cross/offaxis/l1,0.1567,1.4178,0.141,12
140,cross,14,1065,31,65,0.05,cross/offaxis/l0.05,1.0,1.1566,1.0,0
141,cross,14,1065,31,65,0.1,cross/offaxis/l0.1,1.0,1.1623,1.0,0
142,cross,14,1065,31,65,0.2,cross/offaxis/l0.2,1.0,1.1891,1.0,0
143,cross,14,1065,31,65,0.4,cross/offaxis/l0.4,1.0,1.3826,1.0,0
144,cross,14,1065,31,65,1.0,cross/offaxis/l1,0.1582,1.4141,0.1401,12
145,cross,14,1065,77,3065,0.05,cross/offaxis/l0.05,1.0,1.1547,1.0,0
146,cross,14,1065,77,3065,0.1,cross/offaxis/l0.1,1.0,1.1644,1.0,0
147,cross,14,1065,77,3065,0.2,cross/offaxis/l0.2,1.0,1.203,1.0,0
148,cross,14,1065,77,3065,0.4,cross/offaxis/l0.4,1.0,1.2473,1.0,0
149,cross,14,1065,77,3065,1.0,cross/offaxis/l1,0.1668,1.3911,0.1511,12
150,cross,14,1065,77,7065,0.05,cross/offaxis/l0.05,1.0,1.1545,1.0,0
151,cross,14,1065,77,7065,0.1,cross/offaxis/l0.1,1.0,1.1564,1.0,0
152,cross,14,1065,77,7065,0.2,cross/offaxis/l0.2,1.0,1.1722,1.0,0
153,cross,14,1065,77,7065,0.4,cross/offaxis/l0.4,1.0,1.2299,1.0,0
154,cross,14,1065,77,7065,1.0,cross/offaxis/l1,0.1622,1.4042,0.1325,12
155,cross,14,1065,77,5065,0.05,cross/offaxis/l0.05,1.0,1.1557,1.0,0
156,cross,14,1065,77,5065,0.1,cross/offaxis/l0.1,1.0,1.1629,1.0,0
157,cross,14,1065,77,5065,0.2,cross/offaxis/l0.2,1.0,1.1814,1.0,0
158,cross,14,1065,77,5065,0.4,cross/offaxis/l0.4,1.0,1.2376,1.0,0
159,cross,14,1065,77,5065,1.0,cross/offaxis/l1,0.1636,1.4003,0.1509,12
160,cross,14,1065,77,5065,0.05,cross/offaxis/l0.05,1.0,1.1574,1.0,0
161,cross,14,1065,77,5065,0.1,cross/offaxis/l0.1,1.0,1.1724,1.0,0
162,cross,14,1065,77,5065,0.2,cross/offaxis/l0.2,1.0,1.178,1.0,0
163,cross,14,1065,77,5065,0.4,cross/offaxis/l0.4,1.0,1.2372,1.0,0
164,cross,14,1065,77,5065,1.0,cross/offaxis/l1,0.1636,1.4003,0.1509,12
165,cross,14,1065,178,65,0.05,cross/offaxis/l0.05,1.0,1.1568,1.0,0
166,cross,14,1065,178,65,0.1,cross/offaxis/l0.1,1.0,1.1619,1.0,0
167,cross,14,1065,178,65,0.2,cross/offaxis/l0.2,1.0,1.2054,1.0,0
168,cross,14,1065,178,65,0.4,cross/offaxis/l0.4,1.0,1.4285,1.0,0
169,cross,14,1065,178,65,1.0,cross/offaxis/l1,0.1596,1.4109,0.1568,12
170,cross,14,1065,178,65,0.05,cross/offaxis/l0.05,1.0,1.1569,1.0,0
171,cross,14,1065,178,65,0.1,cross/offaxis/l0.1,1.0,1.1609,1.0,0
172,cross,14,1065,178,65,0.2,cross/offaxis/l0.2,1.0,1.1971,1.0,0
173,cross,14,1065,178,65,0.4,cross/offaxis/l0.4,1.0,1.4121,1.0,0
174,cross,14,1065,178,65,1.0,cross/offaxis/l1,0.1596,1.4109,0.1568,12
175,cross,14,1065,178,65,0.05,cross/offaxis/l0.05,1.0,1.1555,1.0,0
176,cross,14,1065,178,65,0.1,cross/offaxis/l0.1,1.0,1.1613,1.0,0
177,cross,14,1065,178,65,0.2,cross/offaxis/l0.2,1.0,1.1848,1.0,0
178,cross,14,1065,178,65,0.4,cross/offaxis/l0.4,1.0,1.3861,1.0,0
179,cross,14,1065,178,65,1.0,cross/offaxis/l1,0.1596,1.4109,0.1568,12
180,cross,14,1065,178,1065,0.05,cross/offaxis/l0.05,1.0,1.1601,1.0,0
181,cross,14,1065,178,1065,0.1,cross/offaxis/l0.1,1.0,1.1799,1.0,0
182,cross,14,1065,178,1065,0.2,cross/offaxis/l0.2,1.0,1.28,1.0,0
183,cross,14,1065,178,1065,0.4,cross/offaxis/l0.4,1.0,1.7189,1.0,0
184,cross,14,1065,178,1065,1.0,cross/offaxis/l1,0.158,1.4146,0.1554,12
185,cross,14,1065,178,1065,0.05,cross/offaxis/l0.05,1.0,1.16,1.0,0
186,cross,14,1065,178,1065,0.1,cross/offaxis/l0.1,1.0,1.1797,1.0,0
187,cross,14,1065,178,1065,0.2,cross/offaxis/l0.2,1.0,1.2999,1.0,0
188,cross,14,1065,178,1065,0.4,cross/offaxis/l0.4,1.0,1.7108,1.0,0
189,cross,14,1065,178,1065,1.0,cross/offaxis/l1,0.158,1.4146,0.1554,12
190,cross,14,1065,33,65,0.05,cross/offaxis/l0.05,1.0,1.1662,1.0,0
191,cross,14,1065,33,65,0.1,cross/offaxis/l0.1,1.0,1.1874,1.0,0
192,cross,14,1065,33,65,0.2,cross/offaxis/l0.2,1.0,1.3018,1.0,0
193,cross,14,1065,33,65,0.4,cross/offaxis/l0.4,1.0,1.71,1.0,0
194,cross,14,1065,33,65,1.0,cross/offaxis/l1,0.1857,1.3277,0.1857,12
195,cross,14,1065,33,1065,0.05,cross/offaxis/l0.05,1.0,1.1541,1.0,0
196,cross,14,1065,33,1065,0.1,cross/offaxis/l0.1,1.0,1.1553,1.0,0
197,cross,14,1065,33,1065,0.2,cross/offaxis/l0.2,1.0,1.1608,1.0,0
198,cross,14,1065,33,1065,0.4,cross/offaxis/l0.4,1.0,1.2108,1.0,4
199,cross,14,1065,33,1065,1.0,cross/offaxis/l1,0.1659,1.3938,0.1659,12
200,cross,14,1065,33,2065,0.05,cross/offaxis/l0.05,1.0,1.1657,1.0,0
201,cross,14,1065,33,2065,0.1,cross/offaxis/l0.1,1.0,1.1892,1.0,0
202,cross,14,1065,33,2065,0.2,cross/offaxis/l0.2,1.0,1.2937,1.0,0
203,cross,14,1065,33,2065,0.4,cross/offaxis/l0.4,1.0,1.6985,1.0,0
204,cross,14,1065,33,2065,1.0,cross/offaxis/l1,0.1734,1.3706,0.1581,12
205,cross,14,1065,33,1065,0.05,cross/offaxis/l0.05,1.0,1.1556,1.0,0
206,cross,14,1065,33,1065,0.1,cross/offaxis/l0.1,1.0,1.1557,1.0,0
207,cross,14,1065,33,1065,0.2,cross/offaxis/l0.2,1.0,1.1595,1.0,0
208,cross,14,1065,33,1065,0.4,cross/offaxis/l0.4,1.0,1.1884,1.0,5
209,cross,14,1065,33,1065,1.0,cross/offaxis/l1,0.1659,1.3938,0.1659,12
210,cross,14,1065,3,3065,0.05,cross/offaxis/l0.05,1.0,1.1637,1.0,0
211,cross,14,1065,3,3065,0.1,cross/offaxis/l0.1,1.0,1.1775,1.0,0
212,cross,14,1065,3,3065,0.2,cross/offaxis/l0.2,1.0,1.2576,1.0,0
213,cross,14,1065,3,3065,0.4,cross/offaxis/l0.4,1.0,1.5936,1.0,0
214,cross,14,1065,3,3065,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,12
215,cross,14,1065,3,3065,0.05,cross/offaxis/l0.05,1.0,1.1635,1.0,0
216,cross,14,1065,3,3065,0.1,cross/offaxis/l0.1,1.0,1.1761,1.0,0
217,cross,14,1065,3,3065,0.2,cross/offaxis/l0.2,1.0,1.2479,1.0,0
218,cross,14,1065,3,3065,0.4,cross/offaxis/l0.4,1.0,1.6146,1.0,0
219,cross,14,1065,3,3065,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,12
220,cross,14,1065,3,3065,0.05,cross/offaxis/l0.05,1.0,1.1638,1.0,0
221,cross,14,1065,3,3065,0.1,cross/offaxis/l0.1,1.0,1.1766,1.0,0
222,cross,14,1065,3,3065,0.2,cross/offaxis/l0.2,1.0,1.2482,1.0,0
223,cross,14,1065,3,3065,0.4,cross/offaxis/l0.4,1.0,1.6638,1.0,0
224,cross,14,1065,3,3065,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,12
225,cross,14,1065,3,3065,0.05,cross/offaxis/l0.05,1.0,1.1637,1.0,0
226,cross,14,1065,3,3065,0.1,cross/offaxis/l0.1,1.0,1.1736,1.0,0
227,cross,14,1065,3,3065,0.2,cross/offaxis/l0.2,1.0,1.2474,1.0,0
228,cross,14,1065,3,3065,0.4,cross/offaxis/l0.4,1.0,1.6301,1.0,0
229,cross,14,1065,3,3065,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,12
230,cross,14,1065,3,1065,0.05,cross/offaxis/l0.05,1.0,1.1633,1.0,0
231,cross,14,1065,3,1065,0.1,cross/offaxis/l0.1,1.0,1.1806,1.0,0
232,cross,14,1065,3,1065,0.2,cross/offaxis/l0.2,1.0,1.2599,1.0,0
233,cross,14,1065,3,1065,0.4,cross/offaxis/l0.4,1.0,1.6003,1.0,0
234,cross,14,1065,3,1065,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,11
235,cross,14,1065,3,3065,0.05,cross/offaxis/l0.05,1.0,1.1639,1.0,0
236,cross,14,1065,3,3065,0.1,cross/offaxis/l0.1,1.0,1.1764,1.0,0
237,cross,14,1065,3,3065,0.2,cross/offaxis/l0.2,1.0,1.2379,1.0,0
238,cross,14,1065,3,3065,0.4,cross/offaxis/l0.4,1.0,1.5886,1.0,0
239,cross,14,1065,3,3065,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,12
240,cross,14,1065,3,65,0.05,cross/offaxis/l0.05,1.0,1.1633,1.0,0
241,cross,14,1065,3,65,0.1,cross/offaxis/l0.1,1.0,1.1784,1.0,0
242,cross,14,1065,3,65,0.2,cross/offaxis/l0.2,1.0,1.2437,1.0,0
243,cross,14,1065,3,65,0.4,cross/offaxis/l0.4,1.0,1.6098,1.0,0
244,cross,14,1065,3,65,1.0,cross/offaxis/l1,0.1893,1.3146,0.1893,12
245,cross,14,1065,11,3065,0.05,cross/offaxis/l0.05,1.0,1.1563,1.0,0
246,cross,14,1065,11,3065,0.1,cross/offaxis/l0.1,1.0,1.1645,1.0,0
247,cross,14,1065,11,3065,0.2,cross/offaxis/l0.2,1.0,1.2062,1.0,0
248,cross,14,1065,11,3065,0.4,cross/offaxis/l0.4,1.0,1.466,1.0,0
249,cross,14,1065,11,3065,1.0,cross/offaxis/l1,0.1602,1.4093,0.1527,12
250,cross,14,1065,11,1065,0.05,cross/offaxis/l0.05,1.0,1.1562,1.0,0
251,cross,14,1065,11,1065,0.1,cross/offaxis/l0.1,1.0,1.1685,1.0,0
252,cross,14,1065,11,1065,0.2,cross/offaxis/l0.2,1.0,1.2224,1.0,0
253,cross,14,1065,11,1065,0.4,cross/offaxis/l0.4,1.0,1.494,1.0,0
