block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
4,7500,dci_gated,15,MixShift2,0,0.871319,1.0,0.727874,1.0,0.777652,0.880052,0,1.002,cheap,0.9993,0,1.7102,cheap,1,32,32,11708.499,12656.95,2.5283,1.0
4,7500,dci_gated,16,MixShift2,0,0.940549,1.0,0.76519,1.0,0.798219,0.907908,0,1.0021,cheap,0.9993,0,1.706,cheap,1,32,32,9560.489,10734.277,2.9811,1.0
4,7500,dci_gated,17,MixCalm,1,0.839678,0.625,0.568082,1.0,0.722564,0.756921,1,1.001,cheap,0.9997,0,1.8047,cheap,1,20,20,8525.127,9075.323,2.2038,1.0
4,7500,dci_gated,18,MixCalm,0,0.923755,1.0,0.735778,1.0,0.713846,0.885171,0,1.001,cheap,0.9997,0,2.7059,cheap,1,20,20,6366.776,7043.736,2.8394,1.0
4,7500,dci_gated,19,MixCalm,0,0.867263,1.0,0.67308,1.0,0.617308,0.844028,0,1.001,cheap,0.9997,0,2.4535,cheap,1,20,20,8803.447,9274.047,2.1566,1.0
4,7500,dci_gated,20,MixCalm,0,0.894343,1.0,0.813614,1.0,0.675641,0.887655,0,1.0011,cheap,0.9997,0,2.1273,cheap,1,20,20,9355.706,9912.307,2.0177,1.0
4,7500,dci_gated,21,MixShift3,1,0.646599,1.0,0.40805,0.811905,0.782308,0.722987,1,1.0012,cheap,0.9996,0,1.4308,cheap,1,20,20,10714.018,11253.15,1.7773,1.0
4,7500,dci_gated,22,MixShift3,0,0.892239,1.0,0.700714,1.0,0.729103,0.872568,0,1.0012,cheap,0.9996,0,2.9168,cheap,1,20,20,7345.371,8042.607,2.4868,1.0
4,7500,dci_gated,23,MixShift3,0,0.854174,1.0,0.667587,0.980769,0.738718,0.854023,0,1.0012,cheap,0.9996,0,1.6312,cheap,1,20,20,6235.598,6697.169,2.9863,1.0
4,7500,dci_gated,24,MixShift3,0,0.78722,1.0,0.547861,0.980769,0.833974,0.827627,0,1.0013,cheap,0.9996,0,1.7392,cheap,1,20,20,9420.377,10084.06,1.9833,1.0
5,7600,dci_gated,1,MixBase,0,0.860812,1.0,0.698268,1.0,0.832179,0.879684,0,1.0,cheap,1.0,0,3.0127,cheap,1,20,20,5269.406,5778.938,3.4608,1.0
5,7600,dci_gated,2,MixBase,0,0.792377,1.0,0.560876,0.880952,0.752692,0.799364,0,1.1987,cheap,1.0,0,1.3045,cheap,1,20,20,4186.475,4774.826,4.1886,1.0
5,7600,dci_gated,3,MixBase,0,0.798913,1.0,0.684295,0.880952,0.722564,0.821162,0,1.2534,cheap,1.0,0,1.6467,cheap,1,20,20,4142.708,4736.41,4.2226,1.0
5,7600,dci_gated,4,MixBase,0,0.839868,1.0,0.722432,1.0,0.757179,0.86803,0,1.5276,cheap,1.0,0,1.8151,cheap,1,20,20,3946.157,4502.519,4.442,1.0
5,7600,dci_gated,5,MixShift1,1,0.651489,1.0,0.464597,0.440092,0.720385,0.651868,1,1.0509,cheap,0.9409,0,1.7074,cheap,1,20,20,5124.688,5599.507,3.5717,1.0
5,7600,dci_gated,6,MixShift1,0,0.97895,1.0,0.786394,1.0,0.847308,0.929112,0,1.1032,cheap,0.9014,0,2.9357,cheap,1,20,20,4377.917,4954.849,4.0364,1.0
5,7600,dci_gated,7,MixShift1,0,0.910463,1.0,0.733022,1.0,0.625641,0.868066,0,1.107,cheap,0.938,0,1.7488,cheap,1,20,20,5007.545,5548.554,3.6045,1.0
5,7600,dci_gated,8,MixShift1,0,0.896497,1.0,0.775005,1.0,0.670641,0.879721,0,1.116,cheap,0.9611,0,1.7154,cheap,1,20,20,5071.787,5568.161,3.5918,1.0
5,7600,dci_gated,9,MixSurge1,1,0.913002,0.625,0.79708,1.0,0.827436,0.836782,1,1.0014,cheap,0.9995,0,1.7,cheap,1,32,32,8699.988,9619.616,3.3265,1.0
5,7600,dci_gated,10,MixSurge1,0,0.978996,1.0,0.905411,1.0,0.677382,0.927438,0,1.0015,cheap,0.9995,0,2.7945,cheap,1,32,32,8515.212,9624.448,3.3249,1.0
5,7600,dci_gated,11,MixSurge1,0,0.9158,1.0,0.754893,1.0,0.790202,0.898459,0,1.0016,cheap,0.9995,0,1.6365,cheap,1,32,32,9119.185,10138.556,3.1563,1.0
5,7600,dci_gated,12,MixSurge1,0,0.894461,1.0,0.704768,1.0,0.742348,0.875921,0,1.0016,cheap,0.9995,0,1.7861,cheap,1,32,32,7971.402,8952.239,3.5745,1.0
5,7600,dci_gated,13,MixShift2,1,0.644619,1.0,0.445075,0.807882,0.615682,0.704098,1,1.0019,cheap,0.9994,0,2.0175,cheap,1,32,32,15500.892,16407.304,1.9504,1.0
5,7600,dci_gated,14,MixShift2,0,0.898586,1.0,0.773816,1.0,0.72081,0.887531,0,1.0019,cheap,0.9994,0,2.726,cheap,1,32,32,10698.319,11762.873,2.7204,1.0
5,7600,dci_gated,15,MixShift2,0,0.970274,1.0,0.883732,1.0,0.795682,0.938667,0,1.002,cheap,0.9994,0,1.6739,cheap,1,32,32,11264.325,11938.628,2.6804,1.0
